,Transmission,Drive,Drive Type,Engine Size,Engine Cylinders,City MPG,Highway MPG,Fuel,Super,Class
869,Automatic,2 wheel,Rear,3.5,6.0,18,24.0,Flexible,None,Truck
870,Automatic,2 wheel,Rear,5.3,8.0,16,23.0,Gas,None,Truck
871,Automatic,2 wheel,Rear,2.0,4.0,21,29.0,Gas,Turbo,Convertible
872,Automatic,All wheel,-1,2.0,4.0,21,33.0,Gas,Turbo,Convertible
873,Automatic,2 wheel,Rear,4.7,8.0,16,24.0,Gas,Turbo,Convertible
874,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
875,Automatic,4 wheel,-1,5.3,8.0,16,22.0,Gas,None,Truck
876,Automatic,2 wheel,Front,1.6,4.0,-1,-1.0,Gas,Turbo,Convertible
877,Automatic,2 wheel,Rear,3.7,6.0,-1,-1.0,Flexible,None,Van
878,Automatic,2 wheel,Rear,3.0,6.0,20,29.0,Gas,Turbo,Convertible
879,Automatic,2 wheel,Front,3.5,6.0,18,25.0,Gas,None,Van
880,Automatic,4 wheel,-1,6.7,8.0,-1,-1.0,Diesel,Turbo,Truck
881,Automatic,All wheel,-1,2.0,4.0,19,23.0,Gas,Turbo,Suv-crossover
882,Automatic,All wheel,-1,2.0,4.0,22,30.0,Gas,Turbo,Sedan
883,Automatic,4 wheel,-1,3.5,6.0,17,23.0,Gas,None,Suv-crossover
884,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Sedan
885,Automatic,All wheel,-1,4.7,8.0,17,26.0,Gas,Turbo,Sedan
886,Automatic,2 wheel,Front,3.6,6.0,-1,-1.0,Gas,None,Van
887,Automatic,4 wheel,-1,5.3,8.0,14,18.0,Gas,None,Truck
888,Automatic,All wheel,-1,3.5,6.0,19.0,26.0,Gas,None,Sedan
889,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Suv-crossover
890,Automatic,2 wheel,Front,3.6,6.0,17,25.0,Flexible,None,Van
891,Automatic,All wheel,-1,2.0,4.0,21,28.0,Gas,Turbo,Sedan
892,Automatic,4 wheel,-1,5.3,8.0,15,20.0,Gas,None,Truck
893,Automatic,4 wheel,-1,3.5,6.0,16,22.0,Gas,Turbo,Truck
894,Automatic,All wheel,-1,3.5,6.0,16,24.0,Gas,None,Sedan
895,Automatic,2 wheel,Rear,3.8,8.0,-1,-1.0,Gas,Turbo,Convertible
896,Automatic,2 wheel,Rear,1.8,4.0,23,32.0,Gas,Turbo,Convertible
897,Automatic,4 wheel,Rear,5.7,8.0,13,17.0,Gas,None,Truck
898,Automatic,2 wheel,Front,-1.0,-1.0,17,25.0,Gas,None,Van
899,Automatic,2 wheel,Front,3.5,6.0,18,25.0,Gas,None,Van
900,Automatic,All wheel,-1,3.5,6.0,18,25.0,Gas,None,Truck
901,Automatic,2 wheel,Front,1.5,4.0,28,34.0,Gas,Turbo,Suv-crossover
902,Automatic,2 wheel,Rear,2.0,4.0,24.0,33.0,Gas,Turbo,Sedan
903,Automatic,4 wheel,-1,2.3,4.0,20,24.0,Gas,Turbo,Truck
904,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
905,Automatic,2 wheel,Rear,5.3,8.0,15,21.0,Flexible,None,Suv-crossover
906,Automatic,All wheel,-1,5.0,8.0,16.0,22.0,Gas,Super,Sedan
907,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
908,Automatic,All wheel,-1,3.5,6.0,19,26.0,Gas,None,Suv-crossover
909,Automatic,2 wheel,Front,3.5,6.0,19,27.0,Gas,None,Suv-crossover
910,Automatic,4 wheel,-1,4.0,6.0,-1,-1.0,Gas,None,Suv-crossover
911,Automatic,2 wheel,Rear,3.0,6.0,24.0,31.0,Gas,Turbo,Sedan
